id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
627411,Landing Page Submission,Google,No,No,0,3.0,325,3.0,SMS Sent,Human Resource Management,,No,No,No,No,No,No,,,No
656381,Landing Page Submission,Direct Traffic,No,No,0,3.0,1346,3.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,13.0,17.0,Yes
646412,API,Google,No,No,1,3.0,714,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,17.0,No
640364,Landing Page Submission,Google,No,No,1,3.0,694,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,19.0,No
595075,Landing Page Submission,Google,No,No,1,8.0,1775,2.67,Email Opened,Business Administration,Working Professional,No,No,No,No,No,No,,,No
588884,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
660727,Landing Page Submission,Direct Traffic,No,No,1,2.0,1532,2.0,Email Opened,Business Administration,Student,No,No,No,No,No,No,14.0,20.0,Yes
624363,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
627952,Landing Page Submission,Organic Search,No,No,0,4.0,5,4.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,,,Yes
593968,Landing Page Submission,Direct Traffic,No,No,0,2.0,338,2.0,Email Link Clicked,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
604843,API,Google,No,No,0,2.0,89,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
646729,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
645381,Landing Page Submission,Google,Yes,No,0,5.0,1369,2.5,Email Bounced,Marketing Management,Unemployed,No,No,No,No,No,No,12.0,17.0,No
617857,API,Google,No,No,0,3.0,396,3.0,Email Opened,Select,Student,No,No,No,No,No,No,,,No
584379,Landing Page Submission,Organic Search,No,No,0,2.0,1449,2.0,Converted to Lead,Finance Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
648310,Landing Page Submission,Google,No,No,0,3.0,359,3.0,Email Opened,Marketing Management,,No,No,No,No,No,No,14.0,18.0,No
655661,Landing Page Submission,Organic Search,Yes,No,0,5.0,615,2.5,Email Bounced,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,15.0,13.0,Yes
617554,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Student,No,No,No,No,No,No,,,No
582943,API,Google,No,No,0,2.0,462,2.0,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
649339,Lead Add Form,Reference,No,No,0,0.0,0,0.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
612830,Landing Page Submission,Direct Traffic,No,No,0,9.0,165,4.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
583940,API,Direct Traffic,No,No,1,8.0,1271,8.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,15.0,15.0,No
636435,Landing Page Submission,Google,No,No,0,6.0,63,6.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,14.0,18.0,No
592589,Landing Page Submission,Organic Search,Yes,No,1,4.0,1866,4.0,Unsubscribed,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
651262,Landing Page Submission,Google,No,No,0,5.0,376,5.0,Unreachable,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,16.0,No
630816,API,Google,No,No,1,3.0,1373,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
625176,API,Google,No,No,0,2.0,441,2.0,Email Opened,,,No,No,No,No,No,No,,,No
637129,API,Organic Search,No,No,1,2.0,1843,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
641619,API,Organic Search,No,No,0,2.0,84,2.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
640219,API,Google,No,No,0,3.0,1628,1.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
583434,Landing Page Submission,Direct Traffic,No,No,0,2.0,404,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
651506,API,Google,No,No,1,2.0,1142,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
631053,API,Google,No,No,0,3.0,13,3.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
616068,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
588035,Lead Add Form,Reference,Yes,No,1,0.0,0,0.0,SMS Sent,Healthcare Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No
619271,Landing Page Submission,Google,No,No,0,4.0,111,4.0,SMS Sent,Media and Advertising,,No,No,No,No,No,No,,,Yes
645114,Landing Page Submission,Google,No,No,0,3.0,336,1.5,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
583143,API,Google,No,No,0,1.0,489,1.0,Converted to Lead,,,No,No,No,No,No,No,16.0,15.0,No
600079,Landing Page Submission,Google,No,No,0,4.0,75,4.0,Form Submitted on Website,Supply Chain Management,Working Professional,No,No,No,No,No,No,,,No
612740,Landing Page Submission,Google,No,No,1,4.0,827,4.0,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,,,No
640024,Landing Page Submission,Google,No,No,0,3.0,93,1.5,Email Opened,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,14.0,14.0,No
647132,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
653893,API,Referral Sites,No,No,0,6.0,356,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
654291,Landing Page Submission,Google,No,No,0,3.0,239,3.0,Email Opened,Marketing Management,,No,No,No,No,No,No,14.0,18.0,No
586709,API,Organic Search,No,No,1,2.0,126,1.0,Email Opened,Hospitality Management,Working Professional,No,No,No,No,No,No,15.0,12.0,No
581551,Landing Page Submission,Direct Traffic,No,No,0,3.0,117,1.5,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,13.0,18.0,No
644691,Landing Page Submission,Organic Search,No,No,0,5.0,211,5.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
653985,Landing Page Submission,Direct Traffic,No,No,0,5.0,221,5.0,Email Opened,Travel and Tourism,Unemployed,No,No,No,No,No,No,13.0,16.0,Yes
617991,Landing Page Submission,Direct Traffic,No,No,1,2.0,172,2.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
646617,Landing Page Submission,Direct Traffic,No,No,0,2.0,7,2.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
584604,Landing Page Submission,Direct Traffic,No,No,0,2.0,407,2.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
609372,Landing Page Submission,Direct Traffic,No,No,1,4.0,1445,4.0,SMS Sent,Healthcare Management,,No,No,No,No,No,No,,,Yes
614070,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Business Administration,Working Professional,No,No,No,No,No,No,,,No
643897,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,15.0,19.0,No
600843,API,Google,No,No,0,7.0,11,2.33,Page Visited on Website,,,No,No,No,No,No,No,,,No
628413,Landing Page Submission,Google,No,No,1,4.0,1286,4.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
598675,Landing Page Submission,Google,No,No,1,4.0,1005,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
640238,Landing Page Submission,Organic Search,No,No,0,14.0,255,7.0,Chat Conversation,Media and Advertising,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
586108,Landing Page Submission,Organic Search,No,No,0,5.0,208,5.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
654254,Landing Page Submission,Organic Search,No,No,0,2.0,414,2.0,Converted to Lead,Travel and Tourism,,No,No,No,No,No,No,13.0,14.0,Yes
608348,Landing Page Submission,Direct Traffic,No,No,1,2.0,1521,2.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,,,Yes
606970,Landing Page Submission,Direct Traffic,No,No,0,2.0,177,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
608929,Landing Page Submission,Organic Search,No,No,1,6.0,1578,3.0,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,15.0,13.0,Yes
644388,Landing Page Submission,Direct Traffic,No,No,0,10.0,68,5.0,Email Opened,Supply Chain Management,,No,No,No,No,No,No,15.0,18.0,Yes
609145,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
630852,Landing Page Submission,Google,No,No,1,4.0,1173,4.0,Email Link Clicked,Supply Chain Management,,No,No,No,No,No,No,,,No
625289,Landing Page Submission,Google,No,No,0,4.0,345,4.0,Form Submitted on Website,IT Projects Management,,No,No,No,No,No,No,13.0,14.0,No
633926,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Business Administration,Working Professional,No,No,No,No,No,No,,,No
640021,API,Google,No,No,0,2.0,344,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
584323,Landing Page Submission,Direct Traffic,No,No,0,17.0,380,2.83,Page Visited on Website,Services Excellence,Unemployed,No,No,No,No,No,No,15.0,15.0,Yes
626180,API,Google,No,No,0,3.0,110,1.5,Chat Conversation,,,No,No,No,No,No,No,14.0,15.0,No
627108,Landing Page Submission,Google,No,No,0,6.0,217,3.0,Email Opened,Marketing Management,,No,No,No,No,No,No,,,No
609588,Landing Page Submission,Direct Traffic,Yes,No,0,4.0,383,4.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,,,No
585362,Landing Page Submission,Google,No,No,1,3.0,770,3.0,SMS Sent,IT Projects Management,Working Professional,No,No,No,No,No,No,14.0,14.0,No
641612,Landing Page Submission,Direct Traffic,No,No,0,2.0,203,2.0,Email Opened,"Banking, Investment And Insurance",,No,No,No,No,No,No,14.0,18.0,Yes
647894,API,Chat,Yes,No,0,0.0,0,0.0,Unsubscribed,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
595743,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
623078,Landing Page Submission,Organic Search,No,No,0,4.0,645,4.0,Email Opened,Healthcare Management,,No,No,No,No,No,No,,,Yes
652559,API,Google,No,No,0,1.0,87,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
609349,Landing Page Submission,Direct Traffic,No,No,1,2.0,1449,2.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
612304,Landing Page Submission,Google,No,No,1,3.0,1768,3.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,,,No
655723,API,Organic Search,No,No,0,7.0,463,3.5,Unreachable,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
616965,API,Organic Search,No,No,1,2.0,362,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,,,No
591197,Landing Page Submission,Direct Traffic,No,No,0,2.0,1245,2.0,Form Submitted on Website,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
613917,Lead Add Form,,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
591805,Landing Page Submission,Google,No,No,0,2.0,418,2.0,Email Link Clicked,Human Resource Management,Student,No,No,No,No,No,No,14.0,18.0,Yes
598816,Landing Page Submission,Direct Traffic,No,No,0,2.0,314,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
586836,Landing Page Submission,Direct Traffic,No,No,1,9.0,767,2.25,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
587045,Landing Page Submission,Direct Traffic,No,No,1,1.0,125,1.0,Converted to Lead,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
588319,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
630405,Landing Page Submission,Google,No,No,0,11.0,287,11.0,Email Opened,IT Projects Management,,No,No,No,No,No,No,,,Yes
629350,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,No
622595,API,Google,No,No,0,3.0,1272,3.0,Converted to Lead,,,No,No,No,No,No,No,,,No
656078,API,Organic Search,No,No,0,2.0,248,2.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
624830,Landing Page Submission,Direct Traffic,No,No,0,5.0,362,2.5,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
582361,Landing Page Submission,Direct Traffic,No,No,0,4.0,373,4.0,Had a Phone Conversation,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
655287,Landing Page Submission,Direct Traffic,No,No,0,2.0,2,2.0,Form Submitted on Website,Healthcare Management,Unemployed,No,No,No,No,No,No,12.0,15.0,Yes
590469,Landing Page Submission,Organic Search,No,No,1,7.0,467,7.0,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,15.0,15.0,Yes
635822,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
654342,API,Organic Search,No,No,0,1.0,37,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
649130,API,Organic Search,No,No,0,7.0,14,3.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
589457,Landing Page Submission,Direct Traffic,No,No,0,3.0,26,3.0,Email Opened,"Banking, Investment And Insurance",Student,No,No,No,No,No,No,16.0,18.0,Yes
580339,Landing Page Submission,Direct Traffic,Yes,No,0,3.0,231,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
626369,API,Direct Traffic,No,No,0,2.0,267,1.0,Converted to Lead,,,No,No,No,No,No,No,,,No
614566,Landing Page Submission,Google,No,No,0,2.0,312,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
614708,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
594771,Landing Page Submission,Direct Traffic,No,No,0,3.0,341,3.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,17.0,No
586241,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
607069,Landing Page Submission,Direct Traffic,No,No,0,3.0,262,1.5,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
635783,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,17.0,No
641305,API,Organic Search,No,No,0,3.0,119,1.5,SMS Sent,,,No,No,No,No,No,No,13.0,15.0,No
646360,API,Google,No,No,1,3.0,881,1.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
616844,Landing Page Submission,Google,No,No,0,4.0,1579,4.0,SMS Sent,E-COMMERCE,Unemployed,No,No,No,No,No,No,,,No
581868,API,Google,No,No,0,9.0,127,1.8,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
645089,Landing Page Submission,Google,No,No,1,10.0,1467,10.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,15.0,19.0,Yes
594584,API,Google,No,No,1,3.0,1190,3.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
593069,API,Google,No,No,1,4.0,952,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
617905,Landing Page Submission,Google,No,No,0,2.0,232,2.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
639104,Landing Page Submission,Google,No,No,1,5.0,934,2.5,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
611144,Landing Page Submission,Google,No,No,1,7.0,945,3.5,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
643272,Lead Import,Facebook,No,No,0,0.0,0,0.0,SMS Sent,Hospitality Management,Unemployed,No,No,No,No,No,No,14.0,11.0,No
611999,API,Organic Search,No,No,0,3.0,1219,3.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
646334,Landing Page Submission,Google,No,No,1,2.0,1392,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No
637909,Landing Page Submission,Google,No,No,1,4.0,701,4.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No
607640,Landing Page Submission,Direct Traffic,No,No,1,9.0,1390,4.5,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
614729,Landing Page Submission,Direct Traffic,No,No,0,2.0,82,2.0,Email Opened,Hospitality Management,Unemployed,No,No,No,No,No,No,,,Yes
649426,API,Organic Search,No,No,0,2.0,73,1.0,Chat Conversation,,,No,No,No,No,No,No,12.0,15.0,No
588001,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,14.0,19.0,No
592370,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
601085,API,Chat,No,No,0,1.0,422,1.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
586349,Landing Page Submission,Google,No,No,1,3.0,520,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,16.0,No
631812,Landing Page Submission,Google,No,No,0,4.0,234,4.0,Page Visited on Website,Finance Management,,No,No,No,No,No,No,,,No
593946,API,Organic Search,No,No,0,6.0,1439,6.0,SMS Sent,,,No,No,No,No,No,No,,,No
624187,Landing Page Submission,Organic Search,No,No,0,3.0,277,3.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
585581,Landing Page Submission,Direct Traffic,No,No,1,2.0,849,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
624084,Landing Page Submission,Organic Search,No,No,0,3.0,113,3.0,Page Visited on Website,Healthcare Management,,No,No,No,No,No,No,,,Yes
587640,Landing Page Submission,Organic Search,No,No,0,4.0,345,4.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,12.0,16.0,Yes
660616,API,Google,No,No,0,4.0,58,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,13.0,16.0,No
600323,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,,,No
605649,Landing Page Submission,Direct Traffic,No,No,0,2.0,1191,2.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
607738,Landing Page Submission,Direct Traffic,No,No,0,1.0,400,1.0,Converted to Lead,,,No,No,No,No,No,No,,,No
644477,Landing Page Submission,Direct Traffic,No,No,0,3.0,30,1.5,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
634536,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,162,1.0,Email Bounced,IT Projects Management,Unemployed,No,No,No,No,No,No,15.0,14.0,Yes
633070,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,19.0,No
617802,API,Organic Search,No,No,0,2.0,579,1.0,Email Opened,Select,Student,No,No,No,No,No,No,,,No
607357,Landing Page Submission,Google,No,No,1,5.0,1269,2.5,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
596303,Landing Page Submission,Google,No,No,1,3.0,676,3.0,SMS Sent,Hospitality Management,Working Professional,No,No,No,No,No,No,,,No
622372,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
593260,Landing Page Submission,Direct Traffic,No,No,0,4.0,6,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
618670,API,Google,No,No,1,4.0,1891,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
645810,API,Chat,No,No,1,7.0,1186,2.33,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
627999,Landing Page Submission,Direct Traffic,No,No,0,2.0,75,2.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,,,Yes
653232,API,Google,No,No,0,5.0,51,2.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
605328,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
588019,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,15.0,19.0,No
614324,Landing Page Submission,Google,No,No,1,2.0,1507,2.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,No
599268,Landing Page Submission,Direct Traffic,No,No,0,3.0,218,3.0,Email Opened,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
650591,API,Organic Search,No,No,0,13.0,78,2.17,Page Visited on Website,,,No,No,No,No,No,No,15.0,16.0,No
609130,Landing Page Submission,Direct Traffic,No,No,0,3.0,1127,3.0,SMS Sent,Travel and Tourism,,No,No,No,No,No,No,,,Yes
593876,Landing Page Submission,Direct Traffic,No,No,1,3.0,177,1.5,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,,,Yes
636806,Landing Page Submission,Direct Traffic,No,No,1,11.0,985,1.83,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,16.0,19.0,Yes
623398,Landing Page Submission,Direct Traffic,No,No,1,2.0,1271,2.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,,,No
588519,Landing Page Submission,Direct Traffic,Yes,No,1,8.0,346,8.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,18.0,No
640537,API,Google,No,No,1,2.0,636,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
613398,Landing Page Submission,Direct Traffic,No,No,1,6.0,1399,6.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
627486,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
584754,Landing Page Submission,Google,No,No,0,4.0,18,4.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,12.0,18.0,No
619137,Landing Page Submission,Google,No,No,0,7.0,136,3.5,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,18.0,No
631817,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
607282,Landing Page Submission,Direct Traffic,No,No,1,2.0,981,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,,,No
586124,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,16.0,15.0,No
657295,Landing Page Submission,Direct Traffic,No,No,0,4.0,174,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
641227,Landing Page Submission,Google,No,No,0,9.0,171,9.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
626237,Landing Page Submission,Direct Traffic,No,No,0,1.0,251,1.0,Converted to Lead,Business Administration,,No,No,No,No,No,No,,,Yes
587303,Lead Add Form,Reference,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
598757,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Student,No,No,No,No,No,No,,,No
628462,Landing Page Submission,Organic Search,No,No,1,8.0,1288,8.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
606316,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,,,No
583752,Landing Page Submission,Direct Traffic,No,No,0,4.0,266,4.0,SMS Sent,International Business,,No,No,No,No,No,No,14.0,18.0,Yes
628482,Lead Add Form,Reference,No,No,1,1.0,1054,1.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
604739,Landing Page Submission,Direct Traffic,No,No,0,2.0,45,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
635654,Landing Page Submission,Organic Search,No,No,1,3.0,980,3.0,SMS Sent,Travel and Tourism,Student,No,No,No,No,No,No,15.0,14.0,Yes
654395,Landing Page Submission,Direct Traffic,No,No,1,3.0,1350,1.5,Email Opened,Finance Management,,No,No,No,No,No,No,12.0,18.0,Yes
585607,Landing Page Submission,Organic Search,Yes,No,0,6.0,311,6.0,Unsubscribed,Finance Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
621770,API,Organic Search,No,No,0,5.0,154,5.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
